system:index,date,lst,ndvi,rainfall,slope,soil_moisture,twi,.geo
22,2016-11,28.259816079578037,0.42692892103975155,6.749925307804884E-4,3.129879220807252,7.216461399245872,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2016-12,25.961256003715718,0.35770402149657643,5.52897474361296E-5,3.129879220807252,3.8142605583143054,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2017-01,26.085478027720026,0.3544698951222851,0.0021329433289057126,3.129879220807252,3.364985262979965,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2017-02,31.87189894229048,0.3174213361218271,5.340220902474205E-6,3.129879220807252,2.5444315572839353,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2017-03,37.224450983289884,0.29728040249832854,0.013186379128427357,3.129879220807252,2.4231064646143103,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2017-04,39.595978979517895,0.2971094753088041,0.032986551019817324,3.129879220807252,3.049497934641541,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2017-05,39.279553851350634,0.32144361970874796,0.12168920365338916,3.129879220807252,10.40053106538301,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2017-06,38.606983997128765,0.3594784498728989,0.19666330799094314,3.129879220807252,20.945814438783497,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2017-07,27.50325721403366,0.42426297610088043,0.74387884457823,3.129879220807252,24.53646464130982,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2017-08,31.27989770372173,0.6125139269211134,0.39371131965768824,3.129879220807252,23.7275469132387,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2017-09,31.479465128308014,0.6524671993663381,0.23825605547808257,3.129879220807252,23.77896885091699,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2017-10,30.49698626666528,0.6471209797533766,0.21769999927304146,3.129879220807252,21.982322422671682,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2017-11,27.873660709573226,0.5375820212544803,0.011850511693184872,3.129879220807252,12.015268967404646,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2017-12,25.65194092871548,0.41303565066023923,1.2789859679451497E-5,3.129879220807252,6.130958291166936,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2018-01,25.322596402520787,0.35772919852952767,3.530034556000513E-4,3.129879220807252,3.6472692307663164,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2018-02,31.371781084732877,0.3245482264469212,0.0031961148906103835,3.129879220807252,2.4746358737357306,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2018-03,37.90425451004403,0.3008423390322459,0.004108987916460562,3.129879220807252,2.4190475940704346,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2018-04,37.33041312601381,0.3599559263606087,0.13624290785067253,3.129879220807252,4.507747215434511,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2018-05,36.94311272207152,0.36192343966275,0.08784860941171026,3.129879220807252,11.93896413335486,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2018-06,35.564058432647585,0.5313780408748108,0.21941444141448507,3.129879220807252,22.604378468443198,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2018-07,31.369895243032612,0.36758835720526106,0.4473390964488365,3.129879220807252,22.630002680338304,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2018-08,29.783445954491107,0.5192470802391492,0.42349926009579475,3.129879220807252,23.95642387661334,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2018-09,31.61681501342368,0.6536160423694918,0.20145954081074957,3.129879220807252,22.393400866263704,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2018-10,31.065999493312816,0.5894594374154638,0.03514065797174407,3.129879220807252,11.106383902953048,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2018-11,29.447373301806124,0.45857410601977866,9.634186960269104E-5,3.129879220807252,3.8641370768579466,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2018-12,24.651063119504347,0.36960730315198886,0.06681348872018059,3.129879220807252,6.210591959566952,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2019-01,25.07326076974233,0.3547185896440657,0.0037987296316398804,3.129879220807252,4.767058758603548,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2019-02,28.57526223702406,0.3402022538643318,0.050041927259378394,3.129879220807252,2.9266625137398896,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2019-03,35.39479661258479,0.37392245022551707,0.03171590661510273,3.129879220807252,2.7462627733183727,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2019-04,36.54848113469793,0.40821390863231344,0.05888130943647742,3.129879220807252,2.814420511382323,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2019-05,38.00564908743524,0.4067542566852803,0.11089916254641558,3.129879220807252,6.450264120625378,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2019-06,40.668306204455355,0.427114928660523,0.12852809243624708,3.129879220807252,15.370399095223204,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2019-07,33.38316197890824,0.5199644136794969,0.3279658009634551,3.129879220807252,22.772650353271676,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2019-08,29.84879402014956,0.4964799453441198,0.400820054328074,3.129879220807252,23.035927118958448,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2019-09,30.99782213987716,0.6651012244285734,0.4366121301305773,3.129879220807252,23.744828351305472,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2019-10,29.66023516972267,0.6703399448441364,0.18087773500969442,3.129879220807252,21.006542224754416,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2019-11,27.956173218413863,0.569621202310966,0.0016375956514054764,3.129879220807252,14.092546239175912,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2019-12,22.39610542260884,0.4715882956285823,0.012872206309583415,3.129879220807252,7.777289238514479,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2020-01,22.84929177266632,0.43888375211176356,0.03945193833671997,3.129879220807252,9.256678177932763,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2020-02,27.391673228969832,0.3968250913124255,0.012174328289131531,3.129879220807252,4.955587631111922,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2020-03,32.843076699777306,0.4602180288094639,0.07405373589629848,3.129879220807252,8.2908422497013,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2020-04,36.306133677458384,0.42543703922750176,0.10063847745595898,3.129879220807252,4.273599809835048,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2020-05,35.923820175299674,0.48976624499360427,0.18264815987122354,3.129879220807252,10.784964919401848,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2020-06,35.397973319342874,0.553370347276679,0.26004752660071856,3.129879220807252,20.55926622948096,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2020-07,31.447371146816916,0.5344122258653644,0.42654684069140436,3.129879220807252,24.281017903688376,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2020-08,29.511435508979545,0.6481255581373319,0.3881672602078707,3.129879220807252,23.830159574669196,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2020-09,31.43945732457169,0.5901057881420162,0.26485690921622923,3.129879220807252,23.87508925753492,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2020-10,30.630585355683838,0.5565791414263687,0.11688890781348997,3.129879220807252,18.09785978294329,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2020-11,28.872105989113287,0.4957582883788496,0.004551013599364579,3.129879220807252,7.027384075268487,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2020-12,25.03442047649713,0.4040894774929346,2.9481283231311337E-5,3.129879220807252,4.253943049215984,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2021-01,26.42167362481924,0.3369036842063717,0.0011205197380338655,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2021-02,31.41160358586762,0.3178992167393831,0.001323288109302482,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2021-03,37.3029849418893,0.32393220282673835,0.012379981680606212,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2021-04,42.018575857057954,0.31245199880793867,0.03866112153340371,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2021-05,35.834270924598655,0.5208829591146641,0.3336476009052833,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2021-06,34.053609618612285,0.546447228128436,0.42691604097476504,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2021-07,30.36005013428832,0.47806726554811274,0.5347831900121028,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2021-08,30.20585336493718,0.5971769019036142,0.2847493641425101,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2021-09,28.25183177465258,0.6270869050219213,0.44436277719423894,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2021-10,29.692355602940225,0.6378918634576617,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2021-11,27.133380316257263,0.5452285813154242,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2021-12,23.095400476426747,0.49032050582347075,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2022-01,22.261897279723,0.4372458819938212,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2022-02,26.264835696114375,0.4379304099322641,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2022-03,35.29000870868651,0.4183574709089663,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2022-04,38.63375497450731,0.35529530938333886,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2022-05,34.08337617303366,0.4520602496223831,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2022-06,34.7818637468816,0.4445783725731156,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2022-07,31.50588565565269,0.4975599718036709,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2022-08,30.037338293613846,0.6119163941986349,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2022-09,30.0042502129201,0.6479701111669561,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2022-10,30.656733820316028,0.6489573195987502,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2022-11,27.459490937688017,0.532528175277753,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2022-12,24.611093863806694,0.41446698009810207,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2023-01,24.986188234300638,0.3656806986716289,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2023-02,31.058996996822653,0.31644899530017234,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2023-03,34.94847542567001,0.36377323552553364,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2023-04,39.47729427267512,0.39257374155952124,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2023-05,40.26935906706215,0.3844938568052756,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2023-06,40.262975520673855,0.3757251447972959,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2023-07,29.353148533028556,0.44440903769334905,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2023-08,31.474082356982013,0.5476680021657101,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2023-09,29.67995276165078,0.5687507922734433,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2023-10,29.93237893166409,0.6293267394096,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2023-11,27.52713739316465,0.5176547347597727,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2023-12,22.799462260599107,0.4563763050177102,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2024-01,20.883113109124263,0.40754804092743957,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2024-02,26.355727887853252,0.40163507318151503,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2024-03,32.36088438031094,0.41945544677301266,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2024-04,39.42262120908237,0.3517686471419483,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2024-05,36.304182192759335,0.4411947832185132,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2024-06,35.5611849443524,0.39079336728383707,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2024-07,30.116814447282046,0.44203313095043956,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2024-08,30.40274107304693,0.592739314077903,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2024-09,30.564585176232196,0.6755351419947673,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2024-10,29.506257569519963,0.6341439413416351,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2024-11,24.916347418534205,0.4630207212102714,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2024-12,21.1103395771977,0.44808860923545,,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
